snr tests fe_cum be_cum in_be_cum fer_e_minus fer_e_plus fer ber in_ber in_ber_ref fer_fit ber_fit
-1.000000e+00 230 215 2.425309e+01 2.400000e+01 3.958484e-02 2.529996e-02 9.347826e-01 1.054482e-01 1.043478e-01 1.037591e-01 9.355433e-01 1.055414e-01
-9.500000e-01 230 210 2.310802e+01 2.379475e+01 4.353193e-02 2.996128e-02 9.130435e-01 1.004697e-01 1.034555e-01 1.024533e-01 9.081784e-01 9.976862e-02
-9.000000e-01 250 216 2.313117e+01 2.518133e+01 4.803577e-02 3.701873e-02 8.640000e-01 9.252469e-02 1.007253e-01 1.011521e-01 8.731531e-01 9.410295e-02
-8.500000e-01 260 218 2.342052e+01 2.616512e+01 4.960797e-02 3.975216e-02 8.384615e-01 9.007894e-02 1.006351e-01 9.985559e-02 8.245698e-01 8.782432e-02
-8.000000e-01 280 212 2.241049e+01 2.763812e+01 5.348689e-02 4.652664e-02 7.571429e-01 8.003748e-02 9.870756e-02 9.856386e-02 7.709915e-01 8.132019e-02
-7.500000e-01 280 202 2.085957e+01 2.726312e+01 5.523530e-02 4.924175e-02 7.214286e-01 7.449846e-02 9.736827e-02 9.727705e-02 7.174019e-01 7.476794e-02
-7.000000e-01 320 209 2.139198e+01 3.063735e+01 5.368839e-02 5.005560e-02 6.531250e-01 6.684992e-02 9.574171e-02 9.599529e-02 6.630922e-01 6.803241e-02
-6.500000e-01 340 209 2.124537e+01 3.248997e+01 5.273722e-02 5.017420e-02 6.147059e-01 6.248638e-02 9.555874e-02 9.471871e-02 6.050101e-01 6.092620e-02
-6.000000e-01 360 201 1.981327e+01 3.387809e+01 5.164496e-02 5.041319e-02 5.583333e-01 5.503687e-02 9.410581e-02 9.344741e-02 5.412295e-01 5.343576e-02
-5.500000e-01 440 209 2.024691e+01 4.056636e+01 4.624214e-02 4.667489e-02 4.750000e-01 4.601571e-02 9.219627e-02 9.218154e-02 4.726383e-01 4.578188e-02
-5.000000e-01 560 211 2.020448e+01 5.119830e+01 3.916709e-02 4.084601e-02 3.767857e-01 3.607942e-02 9.142553e-02 9.092121e-02 4.025703e-01 3.832836e-02
-4.500000e-01 610 203 1.863040e+01 5.460416e+01 3.624478e-02 3.833764e-02 3.327869e-01 3.054164e-02 8.951502e-02 8.966654e-02 3.351789e-01 3.143162e-02
-4.000000e-01 750 207 1.964275e+01 6.613040e+01 3.078931e-02 3.307225e-02 2.760000e-01 2.619033e-02 8.817387e-02 8.841766e-02 2.738100e-01 2.532884e-02
-3.500000e-01 890 209 1.870833e+01 7.777546e+01 2.667285e-02 2.895207e-02 2.348315e-01 2.102060e-02 8.738816e-02 8.717468e-02 2.202139e-01 2.010675e-02
-3.000000e-01 1170 206 1.843210e+01 1.005849e+02 2.075430e-02 2.287447e-02 1.760684e-01 1.575393e-02 8.596997e-02 8.593774e-02 1.746506e-01 1.573420e-02
-2.500000e-01 1590 215 1.934645e+01 1.346065e+02 1.593182e-02 1.769020e-02 1.352201e-01 1.216758e-02 8.465817e-02 8.470696e-02 1.364644e-01 1.211852e-02
-2.000000e-01 1950 201 1.788040e+01 1.629228e+02 1.272440e-02 1.428519e-02 1.030769e-01 9.169437e-03 8.355017e-02 8.348245e-02 1.046913e-01 9.154193e-03
-1.500000e-01 2520 205 1.733025e+01 2.071019e+02 1.004700e-02 1.132143e-02 8.134921e-02 6.877082e-03 8.218329e-02 8.226434e-02 7.845953e-02 6.750140e-03
-1.000000e-01 3980 208 1.723843e+01 3.220070e+02 6.492587e-03 7.356060e-03 5.226131e-02 4.331263e-03 8.090627e-02 8.105275e-02 5.713176e-02 4.835854e-03
-5.000000e-02 5270 207 1.752469e+01 4.204938e+02 4.917938e-03 5.589115e-03 3.927894e-02 3.325368e-03 7.979010e-02 7.984780e-02 4.024500e-02 3.353731e-03
0.000000e+00 6960 212 1.713657e+01 5.474174e+02 3.785464e-03 4.303488e-03 3.045977e-02 2.462151e-03 7.865193e-02 7.864960e-02 2.736423e-02 2.247740e-03
5.000000e-02 10610 208 1.728395e+01 8.218171e+02 2.469319e-03 2.817058e-03 1.960415e-02 1.629025e-03 7.745685e-02 7.745829e-02 1.796681e-02 1.456675e-03
